OBJECTID,Stop_Number,Stop_Description,Shelter,Boarding_Allowed,Debarking_Allowed,Express_Stop,Accessible,Routes_Service,District,Zone,Latitude,Longitude,Effective_Date,x,y
586,731,ASTA DR at NORTH SERVICE RD,0,1,1,0,0,4,COOKSVILLE,TRAFFIC ZONE 53,43.581729,-79.587046,2025/09/01,-79.587046,43.581729
587,732,ASTA DR at ABANA RD,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.583661,-79.588908,2025/09/01,-79.5889079999999,43.5836610000001
588,733,TEDWYN DR at FELINA CRT,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.584155,-79.590978,2025/09/01,-79.590978,43.5841550000001
589,734,TEDWYN DR at CHANTENAY DR,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.582648,-79.592474,2025/09/01,-79.592474,43.5826480000001
590,735,TEDWYN DR at MUNDEN RD,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.581091,-79.594393,2025/09/01,-79.594393,43.5810910000001
591,736,TEDWYN DR at CLIFF RD,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.579974,-79.59655,2025/09/01,-79.59655,43.579974
592,737,CLIFF RD at PATHFINDER DR,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.578071,-79.594872,2025/09/01,-79.594872,43.5780710000001
593,738,CLIFF RD at NORTH SERVICE RD,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.576587,-79.592764,2025/09/01,-79.592764,43.5765870000001
594,739,NORTH SERVICE RD west of CLIFF RD,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.573599,-79.594559,2025/09/01,-79.5945589999999,43.5735990000001
595,740,CAMILLA RD at NORTH SERVICE RD,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.572635,-79.596547,2025/09/01,-79.596547,43.572635
596,741,CAMILLA RD at PATHFINDER DR,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.574112,-79.598766,2025/09/01,-79.598766,43.5741120000001
597,742,CAMILLA RD at CHERRY POST DR,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.575666,-79.600687,2025/09/01,-79.6006869999999,43.5756660000001
598,743,CAMILLA RD at DAPHNE AVE,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 59,43.578313,-79.604317,2025/09/01,-79.604317,43.578313
599,747,DUNDAS ST at ARGYLE RD,1,1,1,0,1,1/38,COOKSVILLE,TRAFFIC ZONE 57,43.575507,-79.621683,2025/09/01,-79.621683,43.5755070000001
600,748,DUNDAS ST at CONFEDERATION PKY,1,1,1,0,1,1/101,COOKSVILLE,TRAFFIC ZONE 57,43.577771,-79.61903,2025/09/01,-79.61903,43.577771
601,749,DUNDAS ST at HURONTARIO ST,0,1,1,1,1,1/101,COOKSVILLE,TRAFFIC ZONE 59,43.580382,-79.61601,2025/09/01,-79.6160099999999,43.580382
602,750,DUNDAS ST at JAGUAR VALLEY,1,1,1,0,1,1,COOKSVILLE,TRAFFIC ZONE 59,43.581662,-79.614606,2025/09/01,-79.614606,43.581662
603,751,DUNDAS ST at CAMILLA RD,1,1,1,0,1,1,COOKSVILLE,TRAFFIC ZONE 59,43.583144,-79.612888,2025/09/01,-79.6128879999999,43.5831440000001
604,752,DUNDAS ST at EDENHURST DR,0,1,1,0,1,1,COOKSVILLE,TRAFFIC ZONE 59,43.585151,-79.610587,2025/09/01,-79.610587,43.5851510000001
605,753,DUNDAS ST at CLIFF RD,1,1,1,0,1,1,COOKSVILLE,TRAFFIC ZONE 59,43.587371,-79.607984,2025/09/01,-79.607984,43.5873710000001
606,754,DUNDAS ST at HENSALL CIR,1,1,1,0,1,1,COOKSVILLE,TRAFFIC ZONE 59,43.588606,-79.606631,2025/09/01,-79.6066309999999,43.588606
607,759,CONFEDERATION PKY at 2300 CONFEDERATION PKY,0,1,1,0,1,4/28,COOKSVILLE,TRAFFIC ZONE 57,43.572182,-79.611765,2025/09/01,-79.6117649999999,43.5721820000001
608,760,CAMILLA RD at CAMILLA PL,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.576997,-79.6027,2025/09/01,-79.6027,43.5769970000001
609,761,CAMILLA RD at CAMILLA PL,0,1,1,0,1,4,COOKSVILLE,TRAFFIC ZONE 53,43.577406,-79.603012,2025/09/01,-79.603012,43.577406
610,762,CAWTHRA RD at MELTON DR,0,1,1,0,1,8,DIXIE,TRAFFIC ZONE 53,43.588123,-79.590786,2025/09/01,-79.590786,43.588123
611,763,CAWTHRA RD at TEDWYN DR,0,1,1,0,1,8,COOKSVILLE,TRAFFIC ZONE 53,43.586871,-79.589092,2025/09/01,-79.589092,43.586871
612,764,CAWTHRA RD at NORTH SERVICE RD,1,1,1,0,1,8,COOKSVILLE,TRAFFIC ZONE 53,43.585179,-79.586395,2025/09/01,-79.586395,43.585179
613,766,CITY CENTRE TRANSIT TERMINAL PLATFORM K,0,1,1,0,1,7/20/315,CITY CENTRE,TRAFFIC ZONE 56,43.593948,-79.646798,2025/09/01,-79.646798,43.5939480000001
614,769,HURONTARIO ST at JOHN ST,1,1,1,0,1,2/53/103,COOKSVILLE,TRAFFIC ZONE 67,43.583766,-79.621114,2025/09/01,-79.621114,43.583766
615,772,WINSTON CHURCHILL BLVD at EGLINTON AVE,1,1,1,0,1,45/109,CENTRAL ERIN MILLS,TRAFFIC ZONE 83,43.549056,-79.717174,2025/09/01,-79.7171739999999,43.5490560000001
616,773,WINSTON CHURCHILL BLVD at ERIN CENTRE BLVD,1,1,1,0,1,45/109,CENTRAL ERIN MILLS,TRAFFIC ZONE 1,43.552935,-79.722501,2025/09/01,-79.722501,43.552935
617,774,WINSTON CHURCHILL BLVD at THOMAS ST,1,1,1,0,1,45/49/109,CENTRAL ERIN MILLS,TRAFFIC ZONE 2,43.560843,-79.733292,2025/09/01,-79.7332919999999,43.560843
618,776,MCLAUGHLIN RD at REGAL DR,0,1,1,0,1,66,GATEWAY,TRAFFIC ZONE 8,43.614199,-79.686453,2025/09/01,-79.686453,43.614199
619,777,MCLAUGHLIN RD south of BRITANNIA RD,1,1,1,0,1,66,GATEWAY,TRAFFIC ZONE 8,43.616179,-79.689114,2025/09/01,-79.6891139999999,43.616179
620,778,TOURS RD at EDENWOOD DR,0,1,1,0,1,10/313,MEADOWVALE,TRAFFIC ZONE 37,43.572935,-79.753732,2025/09/01,-79.753732,43.572935
621,779,COMMERCE BLVD at RENFORTH STATION,1,1,1,0,1,24/43/57/74,AIRPORT CORPORATE,TRAFFIC ZONE 102,43.66337,-79.59217,2025/09/01,-79.59217,43.66337
622,780,MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM F,1,1,1,0,1,13/48,MEADOWVALE,TRAFFIC ZONE 119,43.583235,-79.758315,2025/09/01,-79.758315,43.5832350000001
623,781,MCLAUGHLIN RD at REGAL DR,0,1,1,0,1,66,GATEWAY,TRAFFIC ZONE 8,43.614619,-79.687326,2025/09/01,-79.687326,43.6146190000001
624,782,FALCONER DR north of PLAINSMAN RD,0,1,1,0,1,44,MEADOWVALE BUSINESS PARK,TRAFFIC ZONE 118,43.597187,-79.727849,2025/09/01,-79.7278489999999,43.5971870000001
625,783,BRITANNIA RD west of TILLSDOWN DR,0,1,1,1,1,10/39/43/306,EAST CREDIT,TRAFFIC ZONE 94,43.594557,-79.71557,2025/09/01,-79.71557,43.5945570000001
626,784,DUNDAS ST at HENSALL CIR,1,1,1,0,1,1,COOKSVILLE,TRAFFIC ZONE 67,43.589082,-79.606508,2025/09/01,-79.606508,43.5890820000001
627,785,DUNDAS ST at GRENVILLE RD,0,1,1,0,1,1,COOKSVILLE,TRAFFIC ZONE 67,43.587821,-79.607949,2025/09/01,-79.607949,43.5878210000001
628,786,DUNDAS ST at EDENHURST DR,0,1,1,0,1,1,COOKSVILLE,TRAFFIC ZONE 67,43.585307,-79.610794,2025/09/01,-79.6107939999999,43.585307
629,787,DUNDAS ST at LITTLE JOHN LANE,1,1,1,0,1,1,COOKSVILLE,TRAFFIC ZONE 67,43.582971,-79.613437,2025/09/01,-79.613437,43.582971
630,788,DUNDAS ST at JAGUAR VALLEY DR,1,1,1,0,1,1,COOKSVILLE,TRAFFIC ZONE 67,43.581675,-79.61499,2025/09/01,-79.61499,43.5816750000001
631,789,BRITANNIA RD at QUEEN ST,1,1,1,1,1,10/39/43,EAST CREDIT,TRAFFIC ZONE 118,43.588437,-79.722419,2025/09/01,-79.722419,43.5884370000001
632,790,BRITANNIA RD at FARMSTEAD LANE,0,1,1,0,1,39,MEADOWVALE,TRAFFIC ZONE 37,43.566711,-79.746864,2025/09/01,-79.746864,43.566711
633,791,CEREMONIAL DR at MICMAC CRES,0,1,1,0,1,315,HURONTARIO,TRAFFIC ZONE 89,43.600894,-79.666042,2025/09/01,-79.6660419999999,43.600894
634,792,HURONTARIO ST at FLORADALE DR,0,1,1,0,1,2/4,COOKSVILLE,TRAFFIC ZONE 59,43.577236,-79.612336,2025/09/01,-79.612336,43.577236
635,793,GLEN ERIN DR north of THE COLLEGEWAY,1,1,1,0,1,29,ERIN MILLS,TRAFFIC ZONE 213,43.537896,-79.687334,2025/09/01,-79.687334,43.537896
636,794,GLEN ERIN DR at COUNCIL RING RD,0,1,1,0,1,29,ERIN MILLS,TRAFFIC ZONE 213,43.540931,-79.689805,2025/09/01,-79.689805,43.5409310000001
637,795,GLEN ERIN DR at BURNHAMTHORPE RD,0,1,1,0,1,29,ERIN MILLS,TRAFFIC ZONE 213,43.542645,-79.69087,2025/09/01,-79.69087,43.5426450000001
638,796,HURONTARIO ST at KIRWIN AVE,1,1,1,0,1,2,COOKSVILLE,TRAFFIC ZONE 67,43.582885,-79.61985,2025/09/01,-79.61985,43.582885
639,800,TRELAWNY CIR at FOREST PARK DR,1,1,1,0,1,46,LISGAR,TRAFFIC ZONE 15,43.576289,-79.772414,2025/09/01,-79.772414,43.576289
640,802,DERRY RD at DIXIE RD,1,1,1,0,1,18/42,NORTHEAST 1,TRAFFIC ZONE 105,43.674309,-79.675072,2025/09/01,-79.6750719999999,43.674309
641,805,STANFIELD RD north of MIDDLEGATE RD,1,1,1,0,1,51,DIXIE,TRAFFIC ZONE 60,43.601067,-79.586792,2025/09/01,-79.5867919999999,43.6010670000001
642,806,MIDDLEGATE RD at STANFIELD RD,1,1,1,0,1,51,DIXIE,TRAFFIC ZONE 60,43.598491,-79.585278,2025/09/01,-79.585278,43.5984910000001
643,807,MIDDLEGATE RD at 1004 MIDDLEGATE RD,1,1,1,0,1,51,DIXIE,TRAFFIC ZONE 60,43.597072,-79.586801,2025/09/01,-79.586801,43.597072
644,809,HAINES RD south of DUNDAS ST,0,1,1,0,0,51,DIXIE,TRAFFIC ZONE 60,43.594337,-79.592289,2025/09/01,-79.5922889999999,43.594337
645,810,HAINES RD at DUNDAS ST,0,1,1,0,0,51,DIXIE,TRAFFIC ZONE 60,43.597261,-79.596342,2025/09/01,-79.5963419999999,43.5972610000001
646,811,DUNDAS ST west of AUKLAND RD,0,1,1,1,1,1/3/26/307,SOUTH ETOBICOKE,TRAFFIC ZONE 22,43.638035,-79.538637,2025/09/01,-79.5386369999999,43.6380350000001
647,812,MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM G,0,1,1,0,1,45,MEADOWVALE,TRAFFIC ZONE 119,43.58351,-79.758365,2025/09/01,-79.758365,43.58351
648,813,KARIYA GATE at CITY CENTRE DR,0,1,1,0,1,3/26,CITY CENTRE,TRAFFIC ZONE 79,43.592126,-79.638709,2025/09/01,-79.6387089999999,43.5921260000001
649,814,DREAM CREST RD at RICK HANSEN SECONDARY SCHOOL,0,1,1,0,1,314/315,EAST CREDIT,TRAFFIC ZONE 88,43.589689,-79.683582,2025/09/01,-79.6835819999999,43.5896890000001
650,815,DUNDAS ST at EAST MALL CRES,1,1,0,1,1,1/11/20/35/70/101/108/109/126,SOUTH ETOBICOKE,TRAFFIC ZONE 22,43.630753,-79.548989,2025/09/01,-79.5489889999999,43.630753
651,818,KENNEDY RD at AMBASSADOR DR,1,1,1,0,1,53,GATEWAY,TRAFFIC ZONE 21,43.649899,-79.687563,2025/09/01,-79.687563,43.6498990000001
652,819,OSPREY BLVD at WAXWING DR,0,1,1,0,1,46,LISGAR,TRAFFIC ZONE 15,43.565589,-79.757165,2025/09/01,-79.757165,43.565589
653,820,DIXIE RD at DUNDAS ST,1,1,1,0,1,5,DIXIE,TRAFFIC ZONE 60,43.608695,-79.583329,2025/09/01,-79.5833289999999,43.6086950000001
654,821,DIXIE RD at BLUNDELL RD,0,1,1,0,1,5,DIXIE,TRAFFIC ZONE 60,43.60782,-79.58202,2025/09/01,-79.5820199999999,43.6078200000001
655,822,DIXIE RD at ERNEST SAMUEL DR,1,1,1,0,1,5/31,DIXIE,TRAFFIC ZONE 61,43.604284,-79.576866,2025/09/01,-79.5768659999999,43.6042840000001
656,824,CEREMONIAL DR at MICMAC CRES,0,1,1,0,1,315,HURONTARIO,TRAFFIC ZONE 89,43.6011,-79.665963,2025/09/01,-79.665963,43.6011
657,825,CEREMONIAL DR at FAIRWIND DR,0,1,1,0,1,315,HURONTARIO,TRAFFIC ZONE 89,43.604511,-79.662728,2025/09/01,-79.662728,43.6045110000001
658,826,DUNDAS ST east of HAINES RD,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 60,43.598804,-79.595319,2025/09/01,-79.595319,43.598804
659,827,DUNDAS ST west of TOMKEN RD,1,1,1,0,1,1,APPLEWOOD,TRAFFIC ZONE 69,43.598765,-79.595778,2025/09/01,-79.5957779999999,43.5987650000001
660,829,MEADOWVALE BLVD at FINANCIAL DR,1,1,1,0,1,108,MEADOWVALE VILLAGE,TRAFFIC ZONE 18,43.61454,-79.750965,2025/09/01,-79.750965,43.61454
661,830,TOURS RD at EDENWOOD DR,0,1,1,0,1,10/313,MEADOWVALE,TRAFFIC ZONE 37,43.572905,-79.753423,2025/09/01,-79.753423,43.572905
662,831,DUNDAS ST east of DIXIE RD,1,1,1,0,1,1/101,DIXIE,TRAFFIC ZONE 60,43.609368,-79.583555,2025/09/01,-79.583555,43.6093680000001
663,832,MAVIS RD at WHITE CLOVER WAY,1,1,1,0,1,61,EAST CREDIT,TRAFFIC ZONE 85,43.59035,-79.66682,2025/09/01,-79.66682,43.59035
664,833,MAVIS RD at WATERFORD CRES WALKWAY,0,1,1,0,1,61,HURONTARIO,TRAFFIC ZONE 86,43.58844,-79.663629,2025/09/01,-79.663629,43.58844
665,834,MAVIS RD at HUNTINGTON RIDGE DR,1,1,1,0,1,61,HURONTARIO,TRAFFIC ZONE 86,43.590188,-79.666043,2025/09/01,-79.6660429999999,43.5901880000001
666,835,CANTAY RD at BRITANNIA RD,1,1,1,0,1,25/70,GATEWAY,TRAFFIC ZONE 95,43.623558,-79.683215,2025/09/01,-79.683215,43.6235580000001
667,836,EGLINTON AVE east of MAVIS RD,1,1,1,0,1,35,HURONTARIO,TRAFFIC ZONE 86,43.593342,-79.667782,2025/09/01,-79.667782,43.5933420000001
668,837,RATHBURN RD at SAGEBRUSH TRAIL,0,1,1,0,1,9,CREDITVIEW,TRAFFIC ZONE 78,43.579266,-79.660673,2025/09/01,-79.660673,43.5792660000001
669,838,CAWTHRA RD at NEEDHAM LANE,0,1,1,0,1,8,DIXIE,TRAFFIC ZONE 59,43.592605,-79.597173,2025/09/01,-79.5971729999999,43.592605
670,839,CAWTHRA RD at ORWELL ST,1,1,1,0,1,8,DIXIE,TRAFFIC ZONE 59,43.590736,-79.59459,2025/09/01,-79.59459,43.590736
671,840,RATHBURN RD at SAGEBRUSH TRAIL,0,1,1,0,1,9,CREDITVIEW,TRAFFIC ZONE 78,43.57906,-79.660703,2025/09/01,-79.660703,43.57906
672,841,TRELAWNY CIR at DOUG LEAVENS BLVD,0,1,1,0,1,46,LISGAR,TRAFFIC ZONE 15,43.571299,-79.770546,2025/09/01,-79.770546,43.5712990000001
673,842,TRELAWNY CIR at DOUG LEAVENS BLVD,0,1,1,0,1,46,LISGAR,TRAFFIC ZONE 15,43.57124,-79.770944,2025/09/01,-79.770944,43.57124
674,843,LAKESHORE RD west of LORNE PARK RD,0,1,1,0,1,23,CLARKSON - LORNE PARK,TRAFFIC ZONE 41,43.529854,-79.609605,2025/09/01,-79.609605,43.5298540000001
675,844,MCLAUGHLIN RD at CHAMPLAIN TRAIL,0,1,1,0,1,66,HURONTARIO,TRAFFIC ZONE 6,43.605326,-79.674741,2025/09/01,-79.674741,43.6053260000001
676,849,RATHBURN RD at EAST ELORA DR,0,1,1,0,1,9/61,CITY CENTRE,TRAFFIC ZONE 79,43.588858,-79.652446,2025/09/01,-79.6524459999999,43.5888580000001
677,850,KEATON CRES at 5730 KEATON CRES,0,1,1,0,0,70,GATEWAY,TRAFFIC ZONE 92,43.612796,-79.681467,2025/09/01,-79.6814669999999,43.612796
678,851,RATHBURN RD at CONFEDERATION PKY,1,1,1,0,1,9/61,CITY CENTRE,TRAFFIC ZONE 79,43.589586,-79.65155,2025/09/01,-79.65155,43.5895860000001
679,853,TERRY FOX WAY at BRISTOL RD,0,1,1,0,1,68/314,EAST CREDIT,TRAFFIC ZONE 7,43.595393,-79.684771,2025/09/01,-79.6847709999999,43.5953930000001
680,854,ATWATER AVE at NORTHAVEN DR,0,1,1,0,1,8,MINEOLA,TRAFFIC ZONE 48,43.572156,-79.576025,2025/09/01,-79.576025,43.5721560000001
681,855,DUNDAS ST at CAWTHRA RD,1,1,1,0,1,1/101,DIXIE,TRAFFIC ZONE 59,43.593482,-79.601104,2025/09/01,-79.601104,43.593482
682,856,DUNDAS ST east of CAWTHRA RD,1,1,1,1,1,1,DIXIE,TRAFFIC ZONE 60,43.594858,-79.599524,2025/09/01,-79.599524,43.594858
683,857,DUNDAS ST at HAINES RD,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 60,43.597381,-79.596789,2025/09/01,-79.5967889999999,43.597381
684,858,DUNDAS ST at TOMKEN RD,1,1,1,1,1,1/101,DIXIE,TRAFFIC ZONE 60,43.600348,-79.593511,2025/09/01,-79.593511,43.600348
685,859,DUNDAS ST at STANFIELD RD,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 60,43.603058,-79.590574,2025/09/01,-79.5905739999999,43.603058
686,860,DUNDAS ST at ARENA RD,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 60,43.60503,-79.588396,2025/09/01,-79.588396,43.6050300000001
687,861,DUNDAS ST at BLUNDELL RD,1,1,1,0,1,1,APPLEWOOD,TRAFFIC ZONE 69,43.606581,-79.58668,2025/09/01,-79.5866799999999,43.6065810000001
688,862,DUNDAS ST at DIXIE RD,1,1,1,1,1,1/101,DIXIE,TRAFFIC ZONE 60,43.608797,-79.584231,2025/09/01,-79.584231,43.608797
689,863,DUNDAS ST at NEILCO CRT,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 61,43.611167,-79.581474,2025/09/01,-79.581474,43.6111670000001
690,864,DUNDAS ST at MATTAWA AVE,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 61,43.61417,-79.578268,2025/09/01,-79.578268,43.6141700000001
691,865,DUNDAS ST at CORAM WAY,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 61,43.615938,-79.576318,2025/09/01,-79.576318,43.615938
692,866,DUNDAS ST at WHARTON WAY,1,1,1,0,1,1/101,DIXIE,TRAFFIC ZONE 61,43.618586,-79.573554,2025/09/01,-79.5735539999999,43.618586
693,867,DUNDAS ST at SUMMERVILLE CRT,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 61,43.621902,-79.570117,2025/09/01,-79.570117,43.621902
694,868,DUNDAS ST east of SOUTHCREEK RD,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 61,43.624551,-79.567364,2025/09/01,-79.5673639999999,43.624551
695,869,DUNDAS ST at 2200 DUNDAS ST,0,1,1,0,1,1,DIXIE,TRAFFIC ZONE 61,43.626175,-79.565504,2025/09/01,-79.565504,43.626175
696,870,GROSSBEAK DR at GREENBELT CRES,0,1,1,0,1,46,LISGAR,TRAFFIC ZONE 15,43.563382,-79.756158,2025/09/01,-79.756158,43.563382
697,871,DUNDAS ST at NEILSON DR,1,1,0,0,1,1,SOUTH ETOBICOKE,TRAFFIC ZONE 22,43.627606,-79.562005,2025/09/01,-79.5620049999999,43.6276060000001
698,872,DUNDAS ST west of NEILSON DR,0,1,1,0,1,1,DIXIE,TRAFFIC ZONE 70,43.626423,-79.565762,2025/09/01,-79.565762,43.626423
699,873,DUNDAS ST at SOUTHCREEK RD,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 70,43.624583,-79.567834,2025/09/01,-79.5678339999999,43.624583
700,874,DUNDAS ST at UNIVERSAL DR,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 70,43.622825,-79.569748,2025/09/01,-79.5697479999999,43.622825
701,875,DUNDAS ST at WHARTON WAY,1,1,1,0,1,1/101,DIXIE,TRAFFIC ZONE 70,43.619438,-79.573261,2025/09/01,-79.5732609999999,43.6194380000001
702,876,DUNDAS ST at TREADWELLS DR,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 70,43.616603,-79.576253,2025/09/01,-79.5762529999999,43.616603
703,877,DUNDAS ST at MATTAWA AVE,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 70,43.61471,-79.578268,2025/09/01,-79.578268,43.61471
704,878,DUNDAS ST at NEILCO CRT,1,1,1,0,1,1,DIXIE,TRAFFIC ZONE 70,43.611742,-79.581387,2025/09/01,-79.5813869999999,43.6117420000001
705,879,DIXIE RD at CATERPILLAR RD,1,1,1,0,1,5/31,DIXIE,TRAFFIC ZONE 61,43.604132,-79.576188,2025/09/01,-79.5761879999999,43.604132
706,880,DIXIE RD at BLUNDELL RD,1,1,1,0,1,5/31,DIXIE,TRAFFIC ZONE 61,43.607737,-79.581338,2025/09/01,-79.581338,43.607737
707,881,LAKESHORE RD at ST LAWRENCE DR,1,1,1,0,1,23,PORT CREDIT,TRAFFIC ZONE 42,43.556741,-79.58035,2025/09/01,-79.58035,43.556741
708,883,TURNER VALLEY RD at ARGENTIA RD,1,1,1,0,1,44,MEADOWVALE BUSINESS PARK,TRAFFIC ZONE 12,43.597966,-79.742202,2025/09/01,-79.7422019999999,43.597966
709,885,STANFIELD RD at 2530 STANFIELD RD,1,1,1,0,1,51,DIXIE,TRAFFIC ZONE 60,43.602689,-79.589058,2025/09/01,-79.589058,43.6026890000001
710,886,MID-WAY BLVD at DAVAND DR,0,1,1,0,1,5,NORTHEAST 1,TRAFFIC ZONE 105,43.667219,-79.666211,2025/09/01,-79.666211,43.667219
711,887,BRITANNIA RD at TENTH LINE,0,1,1,0,1,39,MEADOWVALE,TRAFFIC ZONE 37,43.564595,-79.749335,2025/09/01,-79.749335,43.564595
712,888,GLEN ERIN DR at AQUITAINE AVE,1,1,1,0,1,42/90,MEADOWVALE,TRAFFIC ZONE 119,43.586901,-79.759526,2025/09/01,-79.7595259999999,43.5869010000001
713,889,MCDOWELL DR at YACHTSMAN CROSSING,0,1,1,0,1,49,CHURCHILL MEADOWS,TRAFFIC ZONE 209,43.554715,-79.75412,2025/09/01,-79.7541199999999,43.554715
714,891,CREDITVIEW RD at BRISTOL RD,1,1,1,1,1,38,EAST CREDIT,TRAFFIC ZONE 91,43.586673,-79.696964,2025/09/01,-79.696964,43.5866730000001
715,892,CREDITVIEW RD at TORRINGTON DR,1,1,1,1,1,38/306/314,EAST CREDIT,TRAFFIC ZONE 91,43.590414,-79.702074,2025/09/01,-79.702074,43.5904140000001
716,893,DARCEL AVE at SOUTH CHIGWEL CRT,0,1,1,0,1,16,MALTON,TRAFFIC ZONE 30,43.7208,-79.625879,2025/09/01,-79.6258789999999,43.7208000000001
717,895,CAWTHRA RD south of NEEDHAM LANE,1,1,1,0,1,8,DIXIE,TRAFFIC ZONE 60,43.591508,-79.595206,2025/09/01,-79.595206,43.591508
718,897,COLONIAL DR south of HUXLEY DR,1,1,1,0,1,36,ERIN MILLS,TRAFFIC ZONE 212,43.525828,-79.704739,2025/09/01,-79.704739,43.525828
719,898,COLONIAL DR north of THE COLLEGEWAY,0,1,1,0,1,36,ERIN MILLS,TRAFFIC ZONE 212,43.525879,-79.70458,2025/09/01,-79.70458,43.525879
720,899,ELIA AVE at HURONTARIO ST,0,1,1,0,1,7,HURONTARIO,TRAFFIC ZONE 87,43.60473,-79.648486,2025/09/01,-79.6484859999999,43.6047300000001
721,900,MISSISSAUGA RD at FEATHERSTON DR,0,1,1,0,0,44,ERIN MILLS,TRAFFIC ZONE 63,43.550363,-79.67103,2025/09/01,-79.67103,43.5503630000001
722,901,MISSISSAUGA RD at FEATHERSTON DR,0,1,1,0,1,44,ERIN MILLS,TRAFFIC ZONE 31,43.55031,-79.670748,2025/09/01,-79.6707479999999,43.55031
723,902,BURNHAMTHORPE RD at MISSISSAUGA RD,1,1,1,0,1,26,ERIN MILLS,TRAFFIC ZONE 77,43.552892,-79.676002,2025/09/01,-79.676002,43.552892
724,903,BURNHAMTHORPE RD at PROMONTORY DR,0,1,1,0,1,26,ERIN MILLS,TRAFFIC ZONE 77,43.556985,-79.674989,2025/09/01,-79.674989,43.5569850000001
725,904,BURNHAMTHORPE RD at PROMONTORY CRES,1,1,1,0,1,26,ERIN MILLS,TRAFFIC ZONE 31,43.557676,-79.674721,2025/09/01,-79.674721,43.5576760000001
726,909,LAKESHORE RD at OWENWOOD DR,0,1,1,0,1,23,CLARKSON - LORNE PARK,TRAFFIC ZONE 40,43.529432,-79.609702,2025/09/01,-79.609702,43.529432
727,910,UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,0,1,1,0,1,1/101/110,ERIN MILLS,TRAFFIC ZONE 31,43.547819,-79.663606,2025/09/01,-79.663606,43.547819
728,914,MISSISSAUGA RD at THE COLLEGEWAY,0,1,1,0,1,1,ERIN MILLS,TRAFFIC ZONE 31,43.544845,-79.662327,2025/09/01,-79.6623269999999,43.5448450000001
729,919,MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM H,1,1,1,0,1,43/46,MEADOWVALE,TRAFFIC ZONE 119,43.583643,-79.758506,2025/09/01,-79.758506,43.583643
730,920,TRANMERE DR south of BOYLEN RD,0,1,1,0,1,15,NORTHEAST 2,TRAFFIC ZONE 106,43.685181,-79.66688,2025/09/01,-79.6668799999999,43.685181
731,921,MIDDLEGATE RD at 1000 MIDDLEGATE RD,0,1,1,0,1,51,DIXIE,TRAFFIC ZONE 60,43.595646,-79.587283,2025/09/01,-79.587283,43.595646
732,922,TOMKEN RD south of DERRY RD,1,1,1,0,1,51,NORTHEAST 1,TRAFFIC ZONE 105,43.664786,-79.683877,2025/09/01,-79.6838769999999,43.664786
733,923,TERRY FOX WAY at BRISTOL RD,0,1,1,0,1,68/314,EAST CREDIT,TRAFFIC ZONE 91,43.595573,-79.685511,2025/09/01,-79.685511,43.5955730000001
734,925,COLUMBUS RD north of MID-WAY BLVD,0,1,1,0,1,5,NORTHEAST 1,TRAFFIC ZONE 105,43.665072,-79.669768,2025/09/01,-79.669768,43.6650720000001
735,927,BURNHAMTHORPE RD at LOYALIST DR,0,1,1,0,1,36,ERIN MILLS,TRAFFIC ZONE 35,43.533177,-79.703773,2025/09/01,-79.703773,43.5331770000001
736,928,LOYALIST DR at SANCREST CRT,0,1,1,0,1,36,ERIN MILLS,TRAFFIC ZONE 35,43.534427,-79.705071,2025/09/01,-79.705071,43.534427
737,929,BURNHAMTHORPE RD at RIDGEWAY DR,0,1,1,0,1,36,ERIN MILLS,TRAFFIC ZONE 35,43.526347,-79.711361,2025/09/01,-79.711361,43.526347
