FID,NODE_ID,INT_DESC,INT_TYPE,ELEVATION,STATUS,OWNER,UTM_X,UTM_Y,CRTDT_GIS,UPDDT_GIS,x,y
2887,350964,GATLIFF AVE/GOLDMAR DR,ROAD,CONN,OPEN,MISS,613838.45,4830105.39,11/8/2001 12:17:00 PM,,-8859829.44573116,5406089.62636286
2888,345476,BLYLEVEN BLVD/DONWAY DR/ESCOBAR CRES,ROAD,CONN,OPEN,MISS,604322.7,4830107.11,11/8/2001 12:16:41 PM,,-8872953.71599972,5406306.40456567
2889,344440,BANNOCKBURN CRT/FENGATE DR/UPTON CRES,ROAD,CONN,OPEN,MISS,601316.32,4830110.68,11/8/2001 12:16:37 PM,,-8877100.28221199,5406375.2063971
2890,344283,HALLSANDS DR/WOODHENGE WAY,ROAD,CONN,OPEN,MISS,600921.56,4830118.11,11/8/2001 12:16:37 PM,,-8877644.62313707,5406393.73122597
2891,345269,CRUZ AVE/DONWAY DR,ROAD,CONN,OPEN,MISS,603954.08,4830124.06,11/8/2001 12:16:40 PM,7/22/2003 11:58:32 AM,-8873461.77691857,5406337.79536727
2892,350513,GRAND FORKS RD/LINCOVE TERR,ROAD,CONN,OPEN,MISS,612953.02,4830127.82,11/8/2001 12:16:58 PM,,-8861050.08711351,5406141.40486118
2893,351018,GRADY CRT,RDEND,CONN,OPEN,MISS,613965.91,4830134.37,11/8/2001 12:17:00 PM,9/3/2008 1:36:44 PM,-8859652.98281614,5406126.73318795
2894,344610,OLD CREDITVIEW RD/OLD DERRY RD,ROAD,CONN,OPEN,MISS,601784.04,4830136.43,11/8/2001 12:16:38 PM,,-8876454.62415768,5406401.0275731
2895,345119,401 HWY,WATER,BYPASS,OPEN,PROV,603559.53,4830138.49,11/8/2001 12:16:40 PM,5/3/2023 1:20:40 PM,-8874005.66991313,5406366.22516483
2896,348074,CHIEFTAN CIR/OJIBWAY TR,ROAD,CONN,OPEN,MISS,609205.26,4830146,11/8/2001 12:16:49 PM,,-8866218.60025239,5406252.55780606
2897,351067,GOLDEN ORCHARD DR/GOLDMAR DR,ROAD,CONN,OPEN,MISS,614088.99,4830148.5,11/8/2001 12:17:00 PM,,-8859482.89555503,5406143.39218104
2898,345428,DONWAY DR/ESCOBAR CRES,ROAD,CONN,OPEN,MISS,604251.25,4830146.02,11/8/2001 12:16:41 PM,,-8873051.42289972,5406361.79656328
2899,345647,BANCROFT DR/CANTAY RD/MAVIS RD,SIGNAL,CONN,OPEN,MISS,604691.99,4830158.63,11/8/2001 12:16:41 PM,,-8872443.25383927,5406369.74476566
2900,345115,401 HWY,WATER,BYPASS,OPEN,PROV,603545.63,4830159.71,11/8/2001 12:16:40 PM,,-8874024.38408167,5406395.8969774
2901,344217,TOTTINGTON DR/WESTBRIDGE WAY,ROAD,CONN,OPEN,MISS,600757.9,4830163.46,11/8/2001 12:16:37 PM,,-8877869.42776912,5406459.91040054
2902,371375,GOLDEN ORCHARD DR,RDEND,CONN,OPEN,MISS,614098.51,4830163.49,12/11/2002 2:20:02 PM,,-8859469.41525575,5406163.90919773
2903,347981,NAHANI WAY/OJIBWAY TR,ROAD,CONN,OPEN,MISS,609083.74,4830165.95,11/8/2001 12:16:49 PM,,-8866385.75456298,5406282.91027685
2904,351374,CORAM AVE/CORAM CRES,ROAD,CONN,OPEN,MISS,615003.53,4830166.24,11/8/2001 12:17:01 PM,,-8858221.17961249,5406146.30060846
2905,344452,BRANIGAN GATE/FENGATE DR,ROAD,CONN,OPEN,MISS,601363.2,4830169.07,11/8/2001 12:16:37 PM,,-8877034.4108649,5406455.03470008
2906,350866,THORNDYKE CRES/TYNEBURN CRES,ROAD,CONN,OPEN,MISS,613617.29,4830174.6,11/8/2001 12:16:59 PM,,-8860132.8500865,5406190.60198052
2907,351071,FIELDGATE DR,RDEND,CONN,OPEN,MISS,614106.47,4830174.83,11/8/2001 12:17:00 PM,,-8859458.17749507,5406179.42099903
2908,345235,CRUZ AVE/FIELDER DR,ROAD,CONN,OPEN,MISS,603896.89,4830175.14,11/8/2001 12:16:40 PM,7/22/2003 11:57:23 AM,-8873539.5721397,5406409.72574488
2909,345293,DONWAY DR/SOUSA DR,ROAD,CONN,OPEN,MISS,603998.26,4830176.08,11/8/2001 12:16:40 PM,7/22/2003 11:53:31 AM,-8873399.72979105,5406408.84455108
2910,347372,ANTHONY AVE/WILDWOOD TR,ROAD,CONN,OPEN,MISS,608240.55,4830181.52,11/8/2001 12:16:47 PM,,-8867548.36410585,5406323.38964791
2911,344307,OVERSTONE LANE/WOODHENGE WAY,ROAD,CONN,OPEN,MISS,600974.24,4830183.92,11/8/2001 12:16:37 PM,,-8877570.59495602,5406483.72431864
2912,345171,DELGADO DR,RDEND,CONN,OPEN,MISS,603777.22,4830184.26,11/8/2001 12:16:40 PM,7/22/2003 11:56:18 AM,-8873704.43107077,5406424.91335574
2913,345388,DONWAY DR/NOLAN RD,ROAD,CONN,OPEN,MISS,604173.49,4830187.81,11/8/2001 12:16:40 PM,7/22/2003 11:48:37 AM,-8873157.78341612,5406421.31851664
2914,350998,GOLDMAR DR/GRADY CRT,ROAD,CONN,OPEN,MISS,613905.73,4830191.59,11/8/2001 12:17:00 PM,,-8859734.64402667,5406207.34908766
2915,351189,SEDLESCOMB DR/UNNAMED UIND,ROAD,CONN,OPEN,MISS,614405.02,4830193.48,11/8/2001 12:17:01 PM,,-8859045.97779987,5406198.1862706
2916,344160,PALLETT CRT,RDEND,CONN,OPEN,MISS,600599.73,4830209,11/8/2001 12:16:37 PM,11/26/2002 9:12:32 AM,-8878086.64668254,5406526.24440358
2917,345329,DONWAY DR/HENTGEN BLVD,ROAD,CONN,OPEN,MISS,604053.49,4830205.44,11/8/2001 12:16:40 PM,7/22/2003 11:50:06 AM,-8873322.92159466,5406448.29939106
2918,344466,FENGATE DR/UNNAMED URES,ROAD,CONN,OPEN,MISS,601400.81,4830216.09,11/8/2001 12:16:38 PM,,-8876981.55475182,5406519.34393539
2919,408420,BLACKHEATH RIDGE,RDEND,CONN,OPEN,MISS,603112.23,4830217.92,7/21/2004 11:46:30 AM,7/21/2004 11:48:54 AM,-8874620.92662086,5406485.72165612
2920,344232,HALLSANDS DR/LILFORD GATE/WESTBRIDGE WAY,ROAD,CONN,OPEN,MISS,600806.09,4830220.64,11/8/2001 12:16:37 PM,,-8877801.77198343,5406538.06073817
2921,373301,UNNAMED UIND,ROAD,CONN,OPEN,MISS,614413.04,4830221.41,2/27/2003 12:14:05 PM,,-8859034.26585867,5406236.65767412
2922,351480,GOLDENRIDGE RD/MATTAWA AVE,ROAD,CONN,OPEN,MISS,615369.66,4830221.73,11/8/2001 12:17:02 PM,,-8857714.9050104,5406214.39149501
2923,350384,GOLDEN ORCHARD DR/WINDING TR,ALLWAY,CONN,OPEN,MISS,612752.12,4830223.36,11/8/2001 12:16:58 PM,,-8861324.95753854,5406278.32033196
2924,347611,ANTHONY AVE/BRISTOL RD E/UNNAMED UREC,SIGNAL,CONN,OPEN,MISS,608614.54,4830226.7,11/8/2001 12:16:48 PM,,-8867031.53578035,5406377.53798095
2925,351329,DUNDAS ST E/TREADWELLS DR,ROAD,CONN,OPEN,MISS,614874.88,4830231.14,11/8/2001 12:17:01 PM,,-8858397.07382357,5406239.1781986
2926,345557,401 HWY/MAVIS RD,ROAD,CONN,OPEN,MISS,604617.2,4830231.56,11/8/2001 12:16:41 PM,7/31/2002 9:32:23 AM,-8872544.83506206,5406472.3121332
2927,344928,HICKORY HOLLOW GLEN,RDEND,CONN,OPEN,MISS,603010.07,4830245.14,11/8/2001 12:16:39 PM,,-8874761.25902238,5406525.57401039
2928,350357,GOLDEN ORCHARD DR/STONECREEK CRES,ROAD,CONN,OPEN,MISS,612709.81,4830232.58,11/8/2001 12:16:57 PM,,-8861383.08949062,5406292.06799909
2929,347974,DAKOTA RD/NAHANI WAY,ALLWAY,CONN,OPEN,MISS,609075.73,4830235.22,11/8/2001 12:16:49 PM,,-8866395.25667409,5406378.96410877
2930,345217,CRUZ AVE/DELGADO DR,ROAD,CONN,OPEN,MISS,603853.65,4830237.53,11/8/2001 12:16:40 PM,7/22/2003 11:55:55 AM,-8873597.87308563,5406497.01708568
2931,344191,KENTCHESTER PL,RDEND,CONN,OPEN,MISS,600705.9,4830249.9,11/8/2001 12:16:37 PM,,-8877939.35868637,5406580.64786587
2932,345398,NOLAN RD/TORRE DR,ROAD,CONN,OPEN,MISS,604203.37,4830242.69,11/8/2001 12:16:40 PM,7/22/2003 11:39:06 AM,-8873115.38890199,5406496.64654104
2933,344322,WINDSCALE LANE/WOODHENGE WAY,ROAD,CONN,OPEN,MISS,601020.33,4830242.47,11/8/2001 12:16:37 PM,,-8877505.79913415,5406563.8099435
2934,350335,GOLDEN ORCHARD DR/LOGMOSS CRES,ROAD,CONN,OPEN,MISS,612663.11,4830243.78,11/8/2001 12:16:57 PM,,-8861447.24277661,5406308.66233193
2935,350552,GOLDEN ORCHARD DR/GRAND FORKS RD,ALLWAY,CONN,OPEN,MISS,613014.55,4830248.91,11/8/2001 12:16:58 PM,,-8860962.41074362,5406307.55864005
2936,351333,CORAM AVE/DUNDAS ST E,SIGNAL,CONN,OPEN,MISS,614888.87,4830249.74,11/8/2001 12:17:01 PM,,-8858377.3377553,5406264.59380221
2937,351467,GOLDENRIDGE RD,RDEND,CONN,OPEN,MISS,615317.13,4830249.95,11/8/2001 12:17:02 PM,,-8857786.6872479,5406254.71208028
2938,344425,BRANIGAN GATE,RDEND,CONN,OPEN,MISS,601297.88,4830244.86,11/8/2001 12:16:37 PM,,-8877122.92828432,5406561.31396055
2939,350960,THORNDYKE CRES/TYNEBURN CRES,ALLWAY,CONN,OPEN,MISS,613835.71,4830253.64,11/8/2001 12:17:00 PM,,-8859829.75244896,5406294.87707067
2940,351091,FIELDGATE DR/HAVENWOOD DR,ROAD,CONN,OPEN,MISS,614158.93,4830255.51,11/8/2001 12:17:00 PM,,-8859383.93134266,5406289.85022092
2941,347365,MIDDLEPORT CRES/WILDWOOD TR,ROAD,CONN,OPEN,MISS,608231.08,4830261.04,11/8/2001 12:16:47 PM,,-8867559.65812919,5406433.66419049
2942,344210,KENTCHESTER PL/LILFORD GATE,ROAD,CONN,OPEN,MISS,600746.89,4830267.66,11/8/2001 12:16:37 PM,,-8877882.45429499,5406604.37707288
2943,350756,BLOOR ST/DIXIE RD,SIGNAL,CONN,OPEN,PEEL,613401.43,4830270.51,11/8/2001 12:16:59 PM,,-8860428.32650354,5406328.41886407
2944,345241,DELGADO DR/SOUSA DR,ROAD,CONN,OPEN,MISS,603920.06,4830275.34,11/8/2001 12:16:40 PM,7/22/2003 11:52:49 AM,-8873505.463595,5406547.92886843
2945,345185,401 HWY,ROAD,CONN,OPEN,PROV,603793.07,4830273.02,11/8/2001 12:16:40 PM,5/2/2023 11:16:43 AM,-8873680.66604005,5406547.42960414
2946,344249,OVERSTONE LANE/WESTBRIDGE WAY,ROAD,CONN,OPEN,MISS,600853.13,4830279.13,11/8/2001 12:16:37 PM,,-8877735.67421901,5406618.04018273
2947,374204,UNNAMED URES,ROAD,CONN,OPEN,MISS,601369.55,4830283.59,3/1/2003 10:28:27 AM,4/17/2003 9:37:03 AM,-8877023.26241578,5406613.42509207
2948,344631,OLD DERRY RD,WATER,BYPASS,OPEN,MISS,601891.87,4830288.6,11/8/2001 12:16:38 PM,,-8876302.69572734,5406609.39469805
2949,351115,TAVITON CRT,RDEND,CONN,OPEN,MISS,614230.98,4830289.51,11/8/2001 12:17:00 PM,,-8859283.75808974,5406335.21041682
2950,378580,UNNAMED URES,RDEND,CONN,OPEN,MISS,601314.31,4830291.1,4/17/2003 9:38:13 AM,,-8877099.29317456,5406624.98242435
2951,344526,DERRY RD W,WATER,BYPASS,OPEN,PEEL,601530.94,4830300.29,11/8/2001 12:16:38 PM,,-8876800.29460806,5406633.16147744
2952,344342,SUNTHORPE LANE/WOODHENGE WAY,ROAD,CONN,OPEN,MISS,601066.33,4830300.96,11/8/2001 12:16:37 PM,,-8877441.13875879,5406643.80508437
2953,344912,LAMPLIGHT WAY,RDEND,CONN,OPEN,MISS,602965.91,4830313.33,11/8/2001 12:16:39 PM,,-8874820.72685068,5406620.89171164
2954,347938,APACHE CRT/NAHANI WAY,ROAD,CONN,OPEN,MISS,609042.66,4830303.88,11/8/2001 12:16:49 PM,,-8866439.32579462,5406474.74451509
2955,345196,401 HWY/401 HWY,ROAD,CONN,OPEN,PROV,603689.08,4830241.25,11/8/2001 12:16:40 PM,12/3/2020 1:40:20 PM,-8873652.59125548,5406597.59438221
2956,344138,FINANCIAL DR,WATER,BYPASS,OPEN,MISS,600546.91,4830309.74,11/8/2001 12:16:36 PM,,-8878157.41203271,5406666.78133162
2957,351097,FIELDGATE DR/TAVITON CRT,ROAD,CONN,OPEN,MISS,614172.72,4830310.17,11/8/2001 12:17:00 PM,,-8859363.62911831,5406365.1743343
2958,345294,DELGADO DR/HENTGEN BLVD,ROAD,CONN,OPEN,MISS,604001.4,4830313.77,11/8/2001 12:16:40 PM,7/22/2003 11:45:13 AM,-8873392.44273203,5406599.36490424
2959,345424,DELGADO DR/NOLAN RD,ROAD,CONN,OPEN,MISS,604237.54,4830318.46,11/8/2001 12:16:41 PM,7/22/2003 11:45:43 AM,-8873066.63811236,5406600.78168899
2960,374206,UNNAMED URES,ROAD,CONN,OPEN,MISS,601337.46,4830316.6,3/1/2003 10:29:01 AM,4/17/2003 9:37:40 AM,-8877066.83923015,5406659.79670338
2961,367795,HARMONY HILL/JAZZY MEWS,ROAD,CONN,OPEN,MISS,603713.51,4830323.32,10/1/2002 2:25:58 PM,,-8873789.33110177,5406618.76632435
2962,350409,BEECHOLLOW CRES/WINDING TR,ROAD,CONN,OPEN,MISS,612804.1,4830323.83,11/8/2001 12:16:58 PM,,-8861250.92955161,5406416.16572349
2963,344589,INUIT TR,RDEND,CONN,OPEN,MISS,601716.11,4830344,11/8/2001 12:16:38 PM,,-8876543.96946887,5406689.77500364
2964,374208,UNNAMED URES,RDEND,CONN,OPEN,MISS,601356.88,4830335.14,3/1/2003 10:29:22 AM,4/17/2003 9:37:45 AM,-8877039.66571757,5406685.04511744
2965,344275,WESTBRIDGE WAY/WINDSCALE LANE,ROAD,CONN,OPEN,MISS,600899.49,4830337.55,11/8/2001 12:16:37 PM,,-8877670.51200519,5406697.93428795
2966,351256,KNOB HILL,RDEND,CONN,OPEN,MISS,614625.18,4830336.84,11/8/2001 12:17:01 PM,,-8858738.96087733,5406391.3941282
2967,351496,MATTAWA AVE/WHARTON GLEN AVE,ALLWAY,CONN,OPEN,MISS,615438.96,4830336.85,11/8/2001 12:17:02 PM,,-8857616.59813662,5406372.08078639
2968,345339,DELGADO DR/TORRE DR,ROAD,CONN,OPEN,MISS,604086.45,4830343.03,11/8/2001 12:16:40 PM,7/22/2003 11:43:14 AM,-8873274.51480371,5406638.04108091
2969,347358,MIDDLEPORT CRES/WILDWOOD TR,ROAD,CONN,OPEN,MISS,608219.35,4830340.53,11/8/2001 12:16:47 PM,,-8867574.07163236,5406543.94766488
2970,344644,GAZETTE GATE/OLD DERRY RD,ROAD,CONN,OPEN,MISS,601942.11,4830353.49,11/8/2001 12:16:38 PM,,-8876232.04893044,5406698.15414626
2971,347761,FORESTWALK CIR/FORESTWALK CIR,ROAD,CONN,OPEN,MISS,608846.34,4830353.92,11/8/2001 12:16:48 PM,5/7/2003 8:42:56 AM,-8866708.97415168,5406548.43191255
2972,344965,BLACKHEATH RIDGE/HICKORY HOLLOW GLEN,ROAD,CONN,OPEN,MISS,603105.19,4830354.87,11/8/2001 12:16:39 PM,,-8874627.7383677,5406675.43915243
2973,367797,JAZZY MEWS,RDEND,CONN,OPEN,MISS,603589.57,4830355.82,10/1/2002 2:27:45 PM,,-8873959.5976517,5406666.41086846
2974,347107,BARONDALE DR/CORTINA CRES,ROAD,CONN,OPEN,MISS,607776.69,4830365.69,11/8/2001 12:16:46 PM,,-8868184.06617584,5406588.65450855
2975,375037,DUNDAS ST E/UNNAMED URES,ROAD,CONN,OPEN,MISS,614976.4,4830370.6,3/10/2003 11:03:49 AM,3/10/2003 11:05:08 AM,-8858253.75025699,5406429.79992189
2976,351185,SUNNYHILL DR,RDEND,CONN,OPEN,MISS,614402.17,4830372.21,11/8/2001 12:17:01 PM,,-8859045.70241147,5406445.63139117
2977,348040,APACHE CRT/UNNAMED URES,ROAD,CONN,OPEN,MISS,609157.44,4830375.04,11/8/2001 12:16:49 PM,,-8866279.4056156,5406570.65970604
2978,351287,KNOB HILL/TREADWELLS DR/UNNAMED URES,ROAD,CONN,OPEN,MISS,614718.66,4830377.38,11/8/2001 12:17:01 PM,,-8858609.06973008,5406445.29318797
2979,350988,HAVENWOOD DR/TYNEBURN CRES,ALLWAY,CONN,OPEN,MISS,613887.65,4830383.57,11/8/2001 12:17:00 PM,,-8859755.07508684,5406473.4895256
2980,350468,BEECHOLLOW CRES/WINDING TR,ROAD,CONN,OPEN,MISS,612886.99,4830386.28,11/8/2001 12:16:58 PM,,-8861135.15025708,5406500.67614069
2981,345759,BELGRAVE RD/CANTAY RD,SIGNAL,CONN,OPEN,MISS,604948.91,4830394.42,11/8/2001 12:16:42 PM,,-8872083.79967956,5406690.5506839
2982,344295,KENTCHESTER PL/SUNTHORPE LANE/WESTBRIDGE WAY,ROAD,CONN,OPEN,MISS,600945.78,4830396.44,11/8/2001 12:16:37 PM,,-8877605.44074161,5406778.49595572
2983,347893,NAHANI WAY/UNNAMED URES,ROAD,CONN,OPEN,MISS,608981.67,4830397.27,11/8/2001 12:16:48 PM,,-8866521.34334808,5406605.39119713
2984,367793,HARMONY HILL/MANDOLIN PL,ROAD,CONN,OPEN,MISS,603672.55,4830398.97,10/1/2002 2:25:02 PM,10/1/2002 2:35:39 PM,-8873844.22314556,5406724.35436999
2985,351140,HEDGESTONE CRT,ROAD,CONN,OPEN,MISS,614267.34,4830380.51,11/8/2001 12:17:00 PM,1/23/2008 12:24:56 PM,-8859231.4699209,5406460.30248318
2986,348141,DAKOTA RD/INDIAN SUMMER TR/KENNEDY RD,SIGNAL,CONN,OPEN,MISS,609316.39,4830400.65,11/8/2001 12:16:49 PM,,-8866059.60219887,5406602.5181261
2987,347137,BARONDALE DR/WHISTLER CRES,ROAD,CONN,OPEN,MISS,607848.78,4830400.44,11/8/2001 12:16:46 PM,,-8868083.85368783,5406635.14834066
2988,374190,UNNAMED URES,ROAD,CONN,OPEN,MISS,609133.76,4830401.73,3/1/2003 10:12:16 AM,4/14/2003 11:12:51 AM,-8866311.47269771,5406608.13803291
2989,344128,CASABLANCA CIR/FINANCIAL DR,ROAD,CONN,OPEN,MISS,600508.44,4830402.77,11/8/2001 12:16:36 PM,11/26/2002 9:14:05 AM,-8878208.55884521,5406796.35378601
2990,344609,FRONTIER RDGE/INUIT TR,ROAD,CONN,OPEN,MISS,601782.81,4830406.09,11/8/2001 12:16:38 PM,,-8876450.66629592,5406774.32189438
2991,347346,WILDWOOD TR/WOODTRAIL CRT,ROAD,CONN,OPEN,MISS,608198.07,4830407.47,11/8/2001 12:16:47 PM,,-8867601.92471315,5406637.08136924
2992,344940,BLACKHEATH RIDGE/LAMPLIGHT WAY,ROAD,CONN,OPEN,MISS,603040.48,4830408.27,11/8/2001 12:16:39 PM,,-8874715.85539817,5406750.72266515
2993,351239,FAIRFOX CRES/NAWBROOK RD,ROAD,CONN,OPEN,MISS,614570.1,4830414.6,11/8/2001 12:17:01 PM,,-8858813.09784085,5406500.32889531
2994,351103,FIELDGATE DR/HEDGESTONE CRT,ROAD,CONN,OPEN,MISS,614199.5,4830415.22,11/8/2001 12:17:00 PM,,-8859324.22444074,5406509.94540378
2995,347716,BRISTOL RD E/FORESTWALK CIR/GRAND HIGHLAND WAY,ROAD,CONN,OPEN,MISS,608769.9,4830416.6,11/8/2001 12:16:48 PM,5/7/2003 8:43:46 AM,-8866813.00791082,5406636.90329376
2996,347173,BARONDALE DR/WHISTLER CRES,ROAD,CONN,OPEN,MISS,607925.39,4830426.46,11/8/2001 12:16:46 PM,,-8867977.61495857,5406669.45419301
2997,374186,UNNAMED URES,ROAD,CONN,OPEN,MISS,609005.93,4830428.02,3/1/2003 10:11:44 AM,,-8866487.19063139,5406647.40630132
2998,345497,401 HWY/MAVIS RD,ROAD,CONN,OPEN,MISS,604378.12,4830436.42,11/8/2001 12:16:41 PM,8/26/2021 1:51:24 PM,-8872870.19845396,5406761.03059696
2999,344163,CASABLANCA CIR/CASABLANCA CIR,ROAD,CONN,OPEN,MISS,600563.79,4830433.57,11/8/2001 12:16:37 PM,11/14/2007 8:51:00 AM,-8878131.56912799,5406837.84004392
3000,347393,WOODTRAIL CRT,RDEND,CONN,OPEN,MISS,608274.78,4830436.53,11/8/2001 12:16:47 PM,,-8867495.47020037,5406675.59405498
3001,347215,BARONDALE DR/COSMIC CRES/UNNAMED UEDU,ROAD,CONN,OPEN,MISS,608004.2,4830443.69,11/8/2001 12:16:46 PM,,-8867868.52947563,5406691.54700881
3002,344113,FINANCIAL DR,RDEND,CONN,OPEN,MISS,600470.49,4830452.44,11/8/2001 12:16:36 PM,,-8878259.87278509,5406865.90249458
3003,344617,GAZETTE GATE/INUIT TR,ROAD,CONN,OPEN,MISS,601816.88,4830449.02,11/8/2001 12:16:38 PM,,-8876402.78008031,5406833.03185671
3004,350908,HAVENWOOD DR/TYNEBURN CRES/UNNAMED UEDU,ALLWAY,CONN,OPEN,MISS,613711.37,4830451.58,11/8/2001 12:16:59 PM,,-8859996.61446979,5406571.76797763
3005,348088,APACHE CRT,RDEND,CONN,OPEN,MISS,609224.22,4830446.27,11/8/2001 12:16:49 PM,,-8866185.70591665,5406667.73974889
3006,344315,WESTBRIDGE WAY/WOODHENGE WAY,ROAD,CONN,OPEN,MISS,600993.04,4830452.01,11/8/2001 12:16:37 PM,,-8877539.08433491,5406854.43337623
3007,375055,UNNAMED URES,RDEND,CONN,OPEN,MISS,614810.76,4830452.5,3/10/2003 11:10:05 AM,,-8858480.27962629,5406547.09133905
3008,385668,GOLDENRIDGE RD,RDEND,CONN,OPEN,MISS,615176.74,4830454.22,7/14/2003 8:39:13 AM,,-8857975.46792562,5406540.77523989
3009,367784,JAZZY MEWS/NIMBUS GATE/OPERA GLASS CRES,ROAD,CONN,OPEN,MISS,603933.67,4830455.44,10/1/2002 2:18:42 PM,,-8873482.83507268,5406796.92630438
3010,344958,HISTORIC TR/LAMPLIGHT WAY,ROAD,CONN,OPEN,MISS,603078.12,4830456.9,11/8/2001 12:16:39 PM,,-8874662.90767589,5406817.24000533
3011,347267,BARONDALE DR/COSMIC CRES/UNNAMED UEDU,ROAD,CONN,OPEN,MISS,608087.45,4830461.08,11/8/2001 12:16:46 PM,,-8867753.31721114,5406713.76092204
3012,351108,CARDROSS RD/FIELDGATE DR,ROAD,CONN,OPEN,MISS,614217.13,4830464.69,11/8/2001 12:17:00 PM,,-8859298.74273586,5406578.00247002
3013,375073,UNNAMED URES,ROAD,CONN,OPEN,MISS,614730.75,4830466.58,3/10/2003 11:18:04 AM,,-8858590.29110012,5406568.4694287
3014,375040,UNNAMED URES,ROAD,CONN,OPEN,MISS,614874.74,4830470.88,3/10/2003 11:04:54 AM,,-8858391.60346857,5406571.00360334
3015,367791,HARMONY HILL/TAMBOURINE TERR,ROAD,CONN,OPEN,MISS,603631.31,4830470.51,10/1/2002 2:24:10 PM,,-8873899.58184022,5406824.27386092
3016,350525,SILVER SPEAR RD/WINDING TR,ROAD,CONN,OPEN,MISS,612965.24,4830474.68,11/8/2001 12:16:58 PM,,-8861025.17620098,5406621.20952088
3017,351259,FAIRFOX CRES/NAWBROOK RD/TREADWELLS DR,ROAD,CONN,OPEN,MISS,614626.79,4830474.98,11/8/2001 12:17:01 PM,,-8858733.47787311,5406582.56708739
3018,347323,BARONDALE DR/WILDWOOD TR,ALLWAY,CONN,OPEN,MISS,608168.59,4830483.33,11/8/2001 12:16:47 PM,,-8867640.89424875,5406742.73918634
3019,348117,BEACHGRASS CRT,RDEND,CONN,OPEN,MISS,609272.43,4830487.71,11/8/2001 12:16:49 PM,,-8866118.27134711,5406724.01266507
3020,351154,BLACKBIRD DR/SUNNYHILL DR,ROAD,CONN,OPEN,MISS,614326.18,4830484.05,11/8/2001 12:17:00 PM,,-8859147.88131037,5406602.2204242
3021,374188,UNNAMED URES,ROAD,CONN,OPEN,MISS,609051.86,4830485.1,3/1/2003 10:12:02 AM,,-8866422.56967168,5406725.37722729
3022,374216,UNNAMED URES,ROAD,CONN,OPEN,PRIV,601544.32,4830486.71,3/1/2003 10:35:32 AM,4/16/2003 1:45:49 PM,-8876777.9544975,5406890.92147652
3023,375047,UNNAMED URES,ROAD,CONN,OPEN,MISS,614844.1,4830487.17,3/10/2003 11:08:26 AM,,-8858433.47530277,5406594.27627799
3024,374214,UNNAMED URES,ROAD,CONN,OPEN,PRIV,601619.49,4830490.37,3/1/2003 10:33:24 AM,4/16/2003 1:46:13 PM,-8876674.17935379,5406894.41554326
3025,378409,UNNAMED URES,RDEND,CONN,OPEN,MISS,609005.72,4830490.52,4/14/2003 11:15:30 AM,,-8866486.08485686,5406733.90896114
3026,375075,UNNAMED URES,ROAD,CONN,OPEN,MISS,614699.59,4830492.96,3/10/2003 11:18:28 AM,,-8858632.64936801,5406605.71515507
3027,375042,UNNAMED URES,ROAD,CONN,OPEN,MISS,614861.03,4830495.58,3/10/2003 11:06:16 AM,,-8858409.91771042,5406605.51479738
3028,385665,GOLDENRIDGE RD/WHARTON WAY,ROAD,CONN,OPEN,MISS,615179.02,4830498.23,7/14/2003 8:36:59 AM,7/14/2003 8:41:58 AM,-8857971.28124025,5406601.63256768
3029,378406,UNNAMED URES,ROAD,CONN,OPEN,MISS,608993.84,4830506.19,4/14/2003 11:15:00 AM,4/14/2003 11:16:40 AM,-8866502.11911936,5406755.87892495
3030,375049,UNNAMED URES,ROAD,CONN,OPEN,MISS,614823.4,4830508.51,3/10/2003 11:09:07 AM,3/10/2003 11:15:15 AM,-8858461.51130151,5406624.31100163
3031,347802,BARONDALE DR/BRISTOL RD E/NAHANI WAY,SIGNAL,CONN,OPEN,MISS,608894.09,4830515.74,11/8/2001 12:16:48 PM,,-8866639.48788926,5406771.33318358
3032,351270,NAWBROOK RD,RDEND,CONN,OPEN,MISS,614665.6,4830516.22,11/8/2001 12:17:01 PM,,-8858678.97513723,5406638.71480912
3033,375044,UNNAMED URES,ROAD,CONN,OPEN,MISS,614838.88,4830516.44,3/10/2003 11:06:47 AM,,-8858439.97604192,5406634.91430681
3034,347669,GRAND HIGHLAND WAY/ROYAL ABERDEEN DR,ROAD,CONN,OPEN,MISS,608705.32,4830519.36,11/8/2001 12:16:48 PM,,-8866899.77840151,5406780.59533367
3035,375063,UNNAMED URES,ROAD,CONN,OPEN,MISS,614831.85,4830519.56,3/10/2003 11:14:30 AM,,-8858449.60095317,5406639.40925406
3036,367782,FABLE CRES/MANDOLIN PL/NIMBUS GATE,ROAD,CONN,OPEN,MISS,603882.54,4830522.09,10/1/2002 2:18:13 PM,,-8873551.9450368,5406890.28805444
3037,344975,EARLY SETTLER ROW/LAMPLIGHT WAY,ROAD,CONN,OPEN,MISS,603134.34,4830529.97,11/8/2001 12:16:39 PM,,-8874583.81724806,5406917.19105583
3038,344337,WESTBRIDGE WAY,WATER,BYPASS,OPEN,MISS,601055.26,4830521.89,11/8/2001 12:16:37 PM,,-8877451.81428414,5406949.86483084
3039,367789,FLUTE WAY/HARMONY HILL,ROAD,CONN,OPEN,MISS,603582.43,4830523.17,10/1/2002 2:23:18 PM,,-8873965.88158693,5406898.20525514
